,CUSTOMER_CODE,CUSTOMER_NAME,YEAR,MONTH,SUB_CUSTOMER_CODE,SUB_CUSTOMER_NAME,A9,A9-S,ATMT,C&S,C4,C4 SG,C9,CAP,CVS,Compact ATS,D3N,DP_Basic,E7,E9,EDM_x,EVS,EZD,EZS,EZS-S,Enclosure,FUPACT,HMI,INSm,KTS,KTS-C,KTS-C-保利,LEC,LS8,M_x,M9,MET_Anologic Meter & CT,MET_Basic,MET_DIN Rail Basic,MT,MTZ,MVS,Motion,NSX,Osmart,Other,P-H,P-M,PR,PR-保利,PRS,S-MA,S-OEM,S-SW,SPD_x,TVR,TeSys-D,TeSys-G,V_x,WATSG,WATSK,WATSN,WATSN&WATSG,WATSNK,WEFP,WG,WGR,WM5G,WP5,WPFP,WQ5,WTS,iARC,iPEU,iSCB,ACB,ATS,C,DPLVP.DIS,DPLVP.Dist,EA,EDM_y,M_y,MCB,MCCB,P,PCP,S,SPD_y,V_y,MONTH_AGG
44,99301,杭州海得电气科技有限公司,2022,1,CP99035197,巨力自动化设备（浙江）有限公司,,,,237.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.13,,,,,,,,,,,,,237.13
45,99301,杭州海得电气科技有限公司,2022,1,CP99035657,浙江瑞邦智能装备股份有限公司,3993.38,,,4651.34,,,,,,,3752.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.7,,,,,,,,,,,,20290.9,,,,,,,,,,,,,,,,,,,,,5630.04,,,,,,3993.38,,,24043.3,,,,33666.72
46,99301,杭州海得电气科技有限公司,2022,1,CP99035803,晋江海科机电设备贸易有限公司,,,,13644.24,,,,,,,1340.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,4187.21,,,,,,,,,,,,3814.82,,,,,,,,,,,,,,,,,,,,,17831.45,,,,,,,,,5155.0,,,,22986.45
47,99301,杭州海得电气科技有限公司,2022,1,CP99036571,安徽宇宙机床有限公司,,,,,,,,,,,12243.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12243.3,,,,12243.3
48,99301,杭州海得电气科技有限公司,2022,1,CP99038115,诸暨市上民机电有限公司,,,,636.73,,,,,,,1902.3,,,,,,1255.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46789.02,,,,,,,,,,,,,,,,,,,,,636.73,,,,,,,1255.79,,48691.32,,,,50583.84
49,99301,杭州海得电气科技有限公司,2022,1,CP99040013,杭州君盛电气有限公司,,,,,,,,,,,,,,97.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.07,,,,,,,97.07
50,99301,杭州海得电气科技有限公司,2022,1,CP99040196,杭州太阳德克电气有限公司,31006.23,,,2528.68,,,,,,,108.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.21,,,,,,,,,,,,3946.94,,,,,,,,,,,,,,,,,,,,,4957.8896,,,,,,31006.23,,,4055.1199,,,,40019.242
51,99301,杭州海得电气科技有限公司,2022,1,CP99041331,金华宝晟电气设备有限公司,,,,6347.4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.2,,,,,,,,,,393.33,,,,,,,,,,,,,,,,,,,,,6347.4897,,,,,,,,352.2,393.33,,,,7093.0195
52,99301,杭州海得电气科技有限公司,2022,1,CP99043253,浙江代应电气技术有限公司,,,,667.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.69,,,,,,,,,,,,,,,,,,,,,667.17,,,,,,,,,583.69,,,,1250.86
53,99301,杭州海得电气科技有限公司,2022,1,CP99043620,福建佶龙机械科技股份有限公司,,,,1035.4,,,,,,,,,,,3761.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.4,,,,3761.06,,,,,,,,,4796.46
54,99301,杭州海得电气科技有限公司,2022,1,CP99044181,福建雪人制冷设备有限公司,6387.52,,,22159.46,194425.38,,,,,,53965.79,,,,3342.47,,,,,,,,,,,,4230.09,,,,,,,,,,,6236.37,46065.85,,,,,,,,,,,,195201.98,,4958.76,,,,,,,,,,,,,,,,,194425.38,,68225.31,,,,3342.47,4230.09,6387.52,6236.37,,249167.78,,,4958.76,536973.7
55,99301,杭州海得电气科技有限公司,2022,1,CP99049141,杭州铭波电气有限公司,1198.44,,,96.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.02,,,,,,1198.44,1577.68,,,,,,2872.1401
